"model","TOTAL","Survey","Length_comp","Parm_priors","dTOTAL","SSB0","SSB2023","depl2023"
"A0 (as coded)",1646.4,922.5,671.1,52.7,0,39194,3359,0.086
"S1 (sexes swapped)",2016.9,871.5,1006.9,138.3,370.5,29212,2210,0.076
