"start","obj","grad"
"start01",1520.20644246654,0.000112463751921542
"start03",1520.20644246654,1.27440345746375e-05
"start07",1520.20644246654,9.5403996024099e-05
"start08",1520.20644246654,4.68865149623609e-05
"start11",1520.20644246654,2.98095108126958e-05
"start09",1521.67568001026,0.000347773466140549
"start10",1521.67568001027,3.40216671222759e-05
"start06",1534.96047801008,2.10215802970297e-05
"start05",1534.96047801011,8.78438285794073e-05
"start02",1537.66926093723,2.99758275228421e-07
"start12",1537.66926093723,1.66136157054977e-05
"start00",2159.40879444945,0.000138988265486444
"start04",3024.32265506512,0.000863276314634891
